SrNo,TollID,CategoryID,Single,Round,Category
1548,222,1,71,107,Car/Jeep/Van
1549,222,2,116,174,LCV
1550,222,3,211,317,Bus/Truck
1551,222,4,326,489,Upto 3 Axle
1552,222,5,341,512,4 to 6 Axle
1553,222,6,371,557,HCM/EME
1554,222,7,421,632,7 or more Axle
1555,223,1,72,108,Car/Jeep/Van
1556,223,2,117,176,LCV
1557,223,3,212,318,Bus/Truck
1558,223,4,327,491,Upto 3 Axle
1559,223,5,342,513,4 to 6 Axle
1560,223,6,372,558,HCM/EME
1561,223,7,422,633,7 or more Axle
1562,224,1,73,110,Car/Jeep/Van
1563,224,2,118,177,LCV
1564,224,3,213,320,Bus/Truck
1565,224,4,328,492,Upto 3 Axle
1566,224,5,343,515,4 to 6 Axle
1567,224,6,373,560,HCM/EME
1568,224,7,423,635,7 or more Axle
1569,225,1,74,111,Car/Jeep/Van
1570,225,2,119,179,LCV
1571,225,3,214,321,Bus/Truck
1572,225,4,329,494,Upto 3 Axle
1573,225,5,344,516,4 to 6 Axle
1574,225,6,374,561,HCM/EME
1575,225,7,424,636,7 or more Axle
1576,226,1,50,75,Car/Jeep/Van
1577,226,2,95,143,LCV
1578,226,3,190,285,Bus/Truck
1579,226,4,305,458,Upto 3 Axle
1580,226,5,320,480,4 to 6 Axle
1581,226,6,350,525,HCM/EME
1582,226,7,400,600,7 or more Axle
1583,227,1,51,77,Car/Jeep/Van
1584,227,2,96,144,LCV
1585,227,3,191,287,Bus/Truck
1586,227,4,306,459,Upto 3 Axle
1587,227,5,321,482,4 to 6 Axle
1588,227,6,351,527,HCM/EME
1589,227,7,401,602,7 or more Axle
1590,228,1,52,78,Car/Jeep/Van
1591,228,2,97,146,LCV
1592,228,3,192,288,Bus/Truck
1593,228,4,307,461,Upto 3 Axle
1594,228,5,322,483,4 to 6 Axle
1595,228,6,352,528,HCM/EME
1596,228,7,402,603,7 or more Axle
1597,229,1,53,80,Car/Jeep/Van
1598,229,2,98,147,LCV
1599,229,3,193,290,Bus/Truck
1600,229,4,308,462,Upto 3 Axle
1601,229,5,323,485,4 to 6 Axle
1602,229,6,353,530,HCM/EME
1603,229,7,403,605,7 or more Axle
1604,230,1,54,81,Car/Jeep/Van
1605,230,2,99,149,LCV
1606,230,3,194,291,Bus/Truck
1607,230,4,309,464,Upto 3 Axle
1608,230,5,324,486,4 to 6 Axle
1609,230,6,354,531,HCM/EME
1610,230,7,404,606,7 or more Axle
1611,231,1,55,83,Car/Jeep/Van
1612,231,2,100,150,LCV
1613,231,3,195,293,Bus/Truck
1614,231,4,310,465,Upto 3 Axle
1615,231,5,325,488,4 to 6 Axle
1616,231,6,355,533,HCM/EME
1617,231,7,405,608,7 or more Axle
1618,232,1,56,84,Car/Jeep/Van
1619,232,2,101,152,LCV
1620,232,3,196,294,Bus/Truck
1621,232,4,311,467,Upto 3 Axle
1622,232,5,326,489,4 to 6 Axle
1623,232,6,356,534,HCM/EME
1624,232,7,406,609,7 or more Axle
1625,233,1,57,86,Car/Jeep/Van
1626,233,2,102,153,LCV
1627,233,3,197,296,Bus/Truck
1628,233,4,312,468,Upto 3 Axle
1629,233,5,327,491,4 to 6 Axle
1630,233,6,357,536,HCM/EME
1631,233,7,407,611,7 or more Axle
1632,234,1,58,87,Car/Jeep/Van
1633,234,2,103,155,LCV
1634,234,3,198,297,Bus/Truck
1635,234,4,313,470,Upto 3 Axle
1636,234,5,328,492,4 to 6 Axle
1637,234,6,358,537,HCM/EME
1638,234,7,408,612,7 or more Axle
1639,235,1,59,89,Car/Jeep/Van
1640,235,2,104,156,LCV
1641,235,3,199,299,Bus/Truck
1642,235,4,314,471,Upto 3 Axle
1643,235,5,329,494,4 to 6 Axle
1644,235,6,359,539,HCM/EME
1645,235,7,409,614,7 or more Axle
1646,236,1,60,90,Car/Jeep/Van
1647,236,2,105,158,LCV
1648,236,3,200,300,Bus/Truck
1649,236,4,315,473,Upto 3 Axle
1650,236,5,330,495,4 to 6 Axle
1651,236,6,360,540,HCM/EME
1652,236,7,410,615,7 or more Axle
1653,237,1,61,92,Car/Jeep/Van
1654,237,2,106,159,LCV
1655,237,3,201,302,Bus/Truck
1656,237,4,316,474,Upto 3 Axle
1657,237,5,331,497,4 to 6 Axle
1658,237,6,361,542,HCM/EME
1659,237,7,411,617,7 or more Axle
1660,238,1,62,93,Car/Jeep/Van
1661,238,2,107,161,LCV
1662,238,3,202,303,Bus/Truck
1663,238,4,317,476,Upto 3 Axle
1664,238,5,332,498,4 to 6 Axle
1665,238,6,362,543,HCM/EME
1666,238,7,412,618,7 or more Axle
1667,239,1,63,95,Car/Jeep/Van
1668,239,2,108,162,LCV
1669,239,3,203,305,Bus/Truck
1670,239,4,318,477,Upto 3 Axle
1671,239,5,333,500,4 to 6 Axle
1672,239,6,363,545,HCM/EME
1673,239,7,413,620,7 or more Axle
1674,240,1,64,96,Car/Jeep/Van
1675,240,2,109,164,LCV
1676,240,3,204,306,Bus/Truck
1677,240,4,319,479,Upto 3 Axle
1678,240,5,334,501,4 to 6 Axle
1679,240,6,364,546,HCM/EME
1680,240,7,414,621,7 or more Axle
1681,241,1,65,98,Car/Jeep/Van
1682,241,2,110,165,LCV
1683,241,3,205,308,Bus/Truck
1684,241,4,320,480,Upto 3 Axle
1685,241,5,335,503,4 to 6 Axle
1686,241,6,365,548,HCM/EME
1687,241,7,415,623,7 or more Axle
1688,242,1,66,99,Car/Jeep/Van
1689,242,2,111,167,LCV
1690,242,3,206,309,Bus/Truck
1691,242,4,321,482,Upto 3 Axle
1692,242,5,336,504,4 to 6 Axle
1693,242,6,366,549,HCM/EME
1694,242,7,416,624,7 or more Axle
1695,243,1,67,101,Car/Jeep/Van
1696,243,2,112,168,LCV
1697,243,3,207,311,Bus/Truck
1698,243,4,322,483,Upto 3 Axle
1699,243,5,337,506,4 to 6 Axle
1700,243,6,367,551,HCM/EME
1701,243,7,417,626,7 or more Axle
1702,244,1,68,102,Car/Jeep/Van
1703,244,2,113,170,LCV
1704,244,3,208,312,Bus/Truck
1705,244,4,323,485,Upto 3 Axle
1706,244,5,338,507,4 to 6 Axle
1707,244,6,368,552,HCM/EME
1708,244,7,418,627,7 or more Axle
1709,245,1,69,104,Car/Jeep/Van
1710,245,2,114,171,LCV
1711,245,3,209,314,Bus/Truck
1712,245,4,324,486,Upto 3 Axle
1713,245,5,339,509,4 to 6 Axle
1714,245,6,369,554,HCM/EME
1715,245,7,419,629,7 or more Axle
1716,246,1,70,105,Car/Jeep/Van
1717,246,2,115,173,LCV
1718,246,3,210,315,Bus/Truck
1719,246,4,325,488,Upto 3 Axle
1720,246,5,340,510,4 to 6 Axle
1721,246,6,370,555,HCM/EME
1722,246,7,420,630,7 or more Axle
1723,247,1,71,107,Car/Jeep/Van
1724,247,2,116,174,LCV
1725,247,3,211,317,Bus/Truck
1726,247,4,326,489,Upto 3 Axle
1727,247,5,341,512,4 to 6 Axle
1728,247,6,371,557,HCM/EME
1729,247,7,421,632,7 or more Axle
1730,248,1,72,108,Car/Jeep/Van
1731,248,2,117,176,LCV
1732,248,3,212,318,Bus/Truck
1733,248,4,327,491,Upto 3 Axle
1734,248,5,342,513,4 to 6 Axle
1735,248,6,372,558,HCM/EME
1736,248,7,422,633,7 or more Axle
1737,249,1,73,110,Car/Jeep/Van
1738,249,2,118,177,LCV
1739,249,3,213,320,Bus/Truck
1740,249,4,328,492,Upto 3 Axle
1741,249,5,343,515,4 to 6 Axle
1742,249,6,373,560,HCM/EME
1743,249,7,423,635,7 or more Axle
1744,250,1,74,111,Car/Jeep/Van
1745,250,2,119,179,LCV
1746,250,3,214,321,Bus/Truck
1747,250,4,329,494,Upto 3 Axle
1748,250,5,344,516,4 to 6 Axle
1749,250,6,374,561,HCM/EME
1750,250,7,424,636,7 or more Axle
1751,251,1,50,75,Car/Jeep/Van
1752,251,2,95,143,LCV
1753,251,3,190,285,Bus/Truck
1754,251,4,305,458,Upto 3 Axle
1755,251,5,320,480,4 to 6 Axle
1756,251,6,350,525,HCM/EME
1757,251,7,400,600,7 or more Axle
1758,252,1,51,77,Car/Jeep/Van
1759,252,2,96,144,LCV
1760,252,3,191,287,Bus/Truck
1761,252,4,306,459,Upto 3 Axle
1762,252,5,321,482,4 to 6 Axle
1763,252,6,351,527,HCM/EME
1764,252,7,401,602,7 or more Axle
1765,253,1,52,78,Car/Jeep/Van
1766,253,2,97,146,LCV
1767,253,3,192,288,Bus/Truck
1768,253,4,307,461,Upto 3 Axle
1769,253,5,322,483,4 to 6 Axle
1770,253,6,352,528,HCM/EME
1771,253,7,402,603,7 or more Axle
1772,254,1,53,80,Car/Jeep/Van
1773,254,2,98,147,LCV
1774,254,3,193,290,Bus/Truck
1775,254,4,308,462,Upto 3 Axle
1776,254,5,323,485,4 to 6 Axle
1777,254,6,353,530,HCM/EME
1778,254,7,403,605,7 or more Axle
1779,255,1,54,81,Car/Jeep/Van
1780,255,2,99,149,LCV
1781,255,3,194,291,Bus/Truck
1782,255,4,309,464,Upto 3 Axle
1783,255,5,324,486,4 to 6 Axle
1784,255,6,354,531,HCM/EME
1785,255,7,404,606,7 or more Axle
1786,256,1,55,83,Car/Jeep/Van
1787,256,2,100,150,LCV
1788,256,3,195,293,Bus/Truck
1789,256,4,310,465,Upto 3 Axle
1790,256,5,325,488,4 to 6 Axle
1791,256,6,355,533,HCM/EME
1792,256,7,405,608,7 or more Axle
1793,257,1,56,84,Car/Jeep/Van
1794,257,2,101,152,LCV
1795,257,3,196,294,Bus/Truck
1796,257,4,311,467,Upto 3 Axle
1797,257,5,326,489,4 to 6 Axle
1798,257,6,356,534,HCM/EME
1799,257,7,406,609,7 or more Axle
1800,258,1,57,86,Car/Jeep/Van
1801,258,2,102,153,LCV
1802,258,3,197,296,Bus/Truck
1803,258,4,312,468,Upto 3 Axle
1804,258,5,327,491,4 to 6 Axle
1805,258,6,357,536,HCM/EME
1806,258,7,407,611,7 or more Axle
1807,259,1,58,87,Car/Jeep/Van
1808,259,2,103,155,LCV
1809,259,3,198,297,Bus/Truck
1810,259,4,313,470,Upto 3 Axle
1811,259,5,328,492,4 to 6 Axle
1812,259,6,358,537,HCM/EME
1813,259,7,408,612,7 or more Axle
1814,260,1,59,89,Car/Jeep/Van
1815,260,2,104,156,LCV
1816,260,3,199,299,Bus/Truck
1817,260,4,314,471,Upto 3 Axle
1818,260,5,329,494,4 to 6 Axle
1819,260,6,359,539,HCM/EME
1820,260,7,409,614,7 or more Axle
1821,261,1,60,90,Car/Jeep/Van
1822,261,2,105,158,LCV
1823,261,3,200,300,Bus/Truck
1824,261,4,315,473,Upto 3 Axle
1825,261,5,330,495,4 to 6 Axle
1826,261,6,360,540,HCM/EME
1827,261,7,410,615,7 or more Axle
1828,262,1,61,92,Car/Jeep/Van
1829,262,2,106,159,LCV
1830,262,3,201,302,Bus/Truck
1831,262,4,316,474,Upto 3 Axle
1832,262,5,331,497,4 to 6 Axle
1833,262,6,361,542,HCM/EME
1834,262,7,411,617,7 or more Axle
1835,263,1,62,93,Car/Jeep/Van
1836,263,2,107,161,LCV
1837,263,3,202,303,Bus/Truck
1838,263,4,317,476,Upto 3 Axle
1839,263,5,332,498,4 to 6 Axle
1840,263,6,362,543,HCM/EME
1841,263,7,412,618,7 or more Axle
1842,264,1,63,95,Car/Jeep/Van
1843,264,2,108,162,LCV
1844,264,3,203,305,Bus/Truck
1845,264,4,318,477,Upto 3 Axle
1846,264,5,333,500,4 to 6 Axle
1847,264,6,363,545,HCM/EME
1848,264,7,413,620,7 or more Axle
1849,265,1,64,96,Car/Jeep/Van
1850,265,2,109,164,LCV
1851,265,3,204,306,Bus/Truck
1852,265,4,319,479,Upto 3 Axle
1853,265,5,334,501,4 to 6 Axle
1854,265,6,364,546,HCM/EME
1855,265,7,414,621,7 or more Axle
1856,266,1,65,98,Car/Jeep/Van
1857,266,2,110,165,LCV
1858,266,3,205,308,Bus/Truck
1859,266,4,320,480,Upto 3 Axle
1860,266,5,335,503,4 to 6 Axle
1861,266,6,365,548,HCM/EME
1862,266,7,415,623,7 or more Axle
1863,267,1,66,99,Car/Jeep/Van
1864,267,2,111,167,LCV
1865,267,3,206,309,Bus/Truck
1866,267,4,321,482,Upto 3 Axle
1867,267,5,336,504,4 to 6 Axle
1868,267,6,366,549,HCM/EME
1869,267,7,416,624,7 or more Axle
1870,268,1,67,101,Car/Jeep/Van
1871,268,2,112,168,LCV
1872,268,3,207,311,Bus/Truck
1873,268,4,322,483,Upto 3 Axle
1874,268,5,337,506,4 to 6 Axle
1875,268,6,367,551,HCM/EME
1876,268,7,417,626,7 or more Axle
1877,269,1,68,102,Car/Jeep/Van
1878,269,2,113,170,LCV
1879,269,3,208,312,Bus/Truck
1880,269,4,323,485,Upto 3 Axle
1881,269,5,338,507,4 to 6 Axle
1882,269,6,368,552,HCM/EME
1883,269,7,418,627,7 or more Axle
1884,270,1,69,104,Car/Jeep/Van
1885,270,2,114,171,LCV
1886,270,3,209,314,Bus/Truck
1887,270,4,324,486,Upto 3 Axle
1888,270,5,339,509,4 to 6 Axle
1889,270,6,369,554,HCM/EME
1890,270,7,419,629,7 or more Axle
1891,271,1,70,105,Car/Jeep/Van
1892,271,2,115,173,LCV
1893,271,3,210,315,Bus/Truck
1894,271,4,325,488,Upto 3 Axle
1895,271,5,340,510,4 to 6 Axle
1896,271,6,370,555,HCM/EME
1897,271,7,420,630,7 or more Axle
1898,272,1,71,107,Car/Jeep/Van
1899,272,2,116,174,LCV
1900,272,3,211,317,Bus/Truck
1901,272,4,326,489,Upto 3 Axle
1902,272,5,341,512,4 to 6 Axle
1903,272,6,371,557,HCM/EME
1904,272,7,421,632,7 or more Axle
1905,273,1,72,108,Car/Jeep/Van
1906,273,2,117,176,LCV
1907,273,3,212,318,Bus/Truck
1908,273,4,327,491,Upto 3 Axle
1909,273,5,342,513,4 to 6 Axle
1910,273,6,372,558,HCM/EME
1911,273,7,422,633,7 or more Axle
1912,274,1,73,110,Car/Jeep/Van
1913,274,2,118,177,LCV
1914,274,3,213,320,Bus/Truck
1915,274,4,328,492,Upto 3 Axle
1916,274,5,343,515,4 to 6 Axle
1917,274,6,373,560,HCM/EME
1918,274,7,423,635,7 or more Axle
1919,275,1,74,111,Car/Jeep/Van
1920,275,2,119,179,LCV
1921,275,3,214,321,Bus/Truck
1922,275,4,329,494,Upto 3 Axle
1923,275,5,344,516,4 to 6 Axle
1924,275,6,374,561,HCM/EME
1925,275,7,424,636,7 or more Axle
1926,276,1,50,75,Car/Jeep/Van
1927,276,2,95,143,LCV
1928,276,3,190,285,Bus/Truck
1929,276,4,305,458,Upto 3 Axle
1930,276,5,320,480,4 to 6 Axle
1931,276,6,350,525,HCM/EME
1932,276,7,400,600,7 or more Axle
1933,277,1,51,77,Car/Jeep/Van
1934,277,2,96,144,LCV
1935,277,3,191,287,Bus/Truck
1936,277,4,306,459,Upto 3 Axle
1937,277,5,321,482,4 to 6 Axle
1938,277,6,351,527,HCM/EME
1939,277,7,401,602,7 or more Axle
1940,278,1,52,78,Car/Jeep/Van
1941,278,2,97,146,LCV
1942,278,3,192,288,Bus/Truck
1943,278,4,307,461,Upto 3 Axle
1944,278,5,322,483,4 to 6 Axle
1945,278,6,352,528,HCM/EME
1946,278,7,402,603,7 or more Axle
1947,279,1,53,80,Car/Jeep/Van
1948,279,2,98,147,LCV
1949,279,3,193,290,Bus/Truck
1950,279,4,308,462,Upto 3 Axle
1951,279,5,323,485,4 to 6 Axle
1952,279,6,353,530,HCM/EME
1953,279,7,403,605,7 or more Axle
1954,280,1,54,81,Car/Jeep/Van
1955,280,2,99,149,LCV
1956,280,3,194,291,Bus/Truck
1957,280,4,309,464,Upto 3 Axle
1958,280,5,324,486,4 to 6 Axle
1959,280,6,354,531,HCM/EME
1960,280,7,404,606,7 or more Axle
1961,281,1,55,83,Car/Jeep/Van
1962,281,2,100,150,LCV
1963,281,3,195,293,Bus/Truck
1964,281,4,310,465,Upto 3 Axle
1965,281,5,325,488,4 to 6 Axle
1966,281,6,355,533,HCM/EME
1967,281,7,405,608,7 or more Axle
1968,282,1,56,84,Car/Jeep/Van
1969,282,2,101,152,LCV
1970,282,3,196,294,Bus/Truck
1971,282,4,311,467,Upto 3 Axle
1972,282,5,326,489,4 to 6 Axle
1973,282,6,356,534,HCM/EME
1974,282,7,406,609,7 or more Axle
1975,283,1,57,86,Car/Jeep/Van
1976,283,2,102,153,LCV
1977,283,3,197,296,Bus/Truck
1978,283,4,312,468,Upto 3 Axle
1979,283,5,327,491,4 to 6 Axle
1980,283,6,357,536,HCM/EME
1981,283,7,407,611,7 or more Axle
1982,284,1,58,87,Car/Jeep/Van
1983,284,2,103,155,LCV
1984,284,3,198,297,Bus/Truck
1985,284,4,313,470,Upto 3 Axle
1986,284,5,328,492,4 to 6 Axle
1987,284,6,358,537,HCM/EME
1988,284,7,408,612,7 or more Axle
1989,285,1,59,89,Car/Jeep/Van
1990,285,2,104,156,LCV
1991,285,3,199,299,Bus/Truck
1992,285,4,314,471,Upto 3 Axle
1993,285,5,329,494,4 to 6 Axle
1994,285,6,359,539,HCM/EME
1995,285,7,409,614,7 or more Axle
1996,286,1,60,90,Car/Jeep/Van
1997,286,2,105,158,LCV
1998,286,3,200,300,Bus/Truck
1999,286,4,315,473,Upto 3 Axle
2000,286,5,330,495,4 to 6 Axle
2001,286,6,360,540,HCM/EME
2002,286,7,410,615,7 or more Axle
2003,287,1,61,92,Car/Jeep/Van
2004,287,2,106,159,LCV
2005,287,3,201,302,Bus/Truck
2006,287,4,316,474,Upto 3 Axle
2007,287,5,331,497,4 to 6 Axle
2008,287,6,361,542,HCM/EME
2009,287,7,411,617,7 or more Axle
2010,288,1,62,93,Car/Jeep/Van
2011,288,2,107,161,LCV
2012,288,3,202,303,Bus/Truck
2013,288,4,317,476,Upto 3 Axle
2014,288,5,332,498,4 to 6 Axle
2015,288,6,362,543,HCM/EME
2016,288,7,412,618,7 or more Axle
2017,289,1,63,95,Car/Jeep/Van
2018,289,2,108,162,LCV
2019,289,3,203,305,Bus/Truck
2020,289,4,318,477,Upto 3 Axle
2021,289,5,333,500,4 to 6 Axle
2022,289,6,363,545,HCM/EME
2023,289,7,413,620,7 or more Axle
2024,290,1,64,96,Car/Jeep/Van
2025,290,2,109,164,LCV
2026,290,3,204,306,Bus/Truck
2027,290,4,319,479,Upto 3 Axle
2028,290,5,334,501,4 to 6 Axle
2029,290,6,364,546,HCM/EME
2030,290,7,414,621,7 or more Axle
2031,291,1,65,98,Car/Jeep/Van
2032,291,2,110,165,LCV
2033,291,3,205,308,Bus/Truck
2034,291,4,320,480,Upto 3 Axle
2035,291,5,335,503,4 to 6 Axle
2036,291,6,365,548,HCM/EME
2037,291,7,415,623,7 or more Axle
2038,292,1,66,99,Car/Jeep/Van
2039,292,2,111,167,LCV
2040,292,3,206,309,Bus/Truck
2041,292,4,321,482,Upto 3 Axle
2042,292,5,336,504,4 to 6 Axle
2043,292,6,366,549,HCM/EME
2044,292,7,416,624,7 or more Axle
2045,293,1,67,101,Car/Jeep/Van
2046,293,2,112,168,LCV
2047,293,3,207,311,Bus/Truck
2048,293,4,322,483,Upto 3 Axle
2049,293,5,337,506,4 to 6 Axle
2050,293,6,367,551,HCM/EME
2051,293,7,417,626,7 or more Axle
2052,294,1,68,102,Car/Jeep/Van
2053,294,2,113,170,LCV
2054,294,3,208,312,Bus/Truck
2055,294,4,323,485,Upto 3 Axle
2056,294,5,338,507,4 to 6 Axle
2057,294,6,368,552,HCM/EME
2058,294,7,418,627,7 or more Axle
2059,295,1,69,104,Car/Jeep/Van
2060,295,2,114,171,LCV
2061,295,3,209,314,Bus/Truck
2062,295,4,324,486,Upto 3 Axle
2063,295,5,339,509,4 to 6 Axle
2064,295,6,369,554,HCM/EME
2065,295,7,419,629,7 or more Axle
2066,296,1,70,105,Car/Jeep/Van
2067,296,2,115,173,LCV
2068,296,3,210,315,Bus/Truck
2069,296,4,325,488,Upto 3 Axle
2070,296,5,340,510,4 to 6 Axle
2071,296,6,370,555,HCM/EME
2072,296,7,420,630,7 or more Axle
2073,297,1,71,107,Car/Jeep/Van
2074,297,2,116,174,LCV
2075,297,3,211,317,Bus/Truck
2076,297,4,326,489,Upto 3 Axle
2077,297,5,341,512,4 to 6 Axle
2078,297,6,371,557,HCM/EME
2079,297,7,421,632,7 or more Axle
2080,298,1,72,108,Car/Jeep/Van
2081,298,2,117,176,LCV
2082,298,3,212,318,Bus/Truck
2083,298,4,327,491,Upto 3 Axle
2084,298,5,342,513,4 to 6 Axle
2085,298,6,372,558,HCM/EME
2086,298,7,422,633,7 or more Axle
2087,299,1,73,110,Car/Jeep/Van
2088,299,2,118,177,LCV
2089,299,3,213,320,Bus/Truck
2090,299,4,328,492,Upto 3 Axle
2091,299,5,343,515,4 to 6 Axle
2092,299,6,373,560,HCM/EME
2093,299,7,423,635,7 or more Axle
2094,300,1,74,111,Car/Jeep/Van
2095,300,2,119,179,LCV
2096,300,3,214,321,Bus/Truck
2097,300,4,329,494,Upto 3 Axle
2098,300,5,344,516,4 to 6 Axle
2099,300,6,374,561,HCM/EME
2100,300,7,424,636,7 or more Axle
2101,301,1,50,75,Car/Jeep/Van
2102,301,2,95,143,LCV
2103,301,3,190,285,Bus/Truck
2104,301,4,305,458,Upto 3 Axle
2105,301,5,320,480,4 to 6 Axle
2106,301,6,350,525,HCM/EME
2107,301,7,400,600,7 or more Axle
2108,302,1,51,77,Car/Jeep/Van
2109,302,2,96,144,LCV
2110,302,3,191,287,Bus/Truck
2111,302,4,306,459,Upto 3 Axle
2112,302,5,321,482,4 to 6 Axle
2113,302,6,351,527,HCM/EME
2114,302,7,401,602,7 or more Axle
2115,303,1,52,78,Car/Jeep/Van
2116,303,2,97,146,LCV
2117,303,3,192,288,Bus/Truck
2118,303,4,307,461,Upto 3 Axle
2119,303,5,322,483,4 to 6 Axle
2120,303,6,352,528,HCM/EME
2121,303,7,402,603,7 or more Axle
2122,304,1,53,80,Car/Jeep/Van
2123,304,2,98,147,LCV
2124,304,3,193,290,Bus/Truck
2125,304,4,308,462,Upto 3 Axle
2126,304,5,323,485,4 to 6 Axle
2127,304,6,353,530,HCM/EME
2128,304,7,403,605,7 or more Axle
2129,305,1,54,81,Car/Jeep/Van
2130,305,2,99,149,LCV
2131,305,3,194,291,Bus/Truck
2132,305,4,309,464,Upto 3 Axle
2133,305,5,324,486,4 to 6 Axle
2134,305,6,354,531,HCM/EME
2135,305,7,404,606,7 or more Axle
2136,306,1,55,83,Car/Jeep/Van
2137,306,2,100,150,LCV
2138,306,3,195,293,Bus/Truck
2139,306,4,310,465,Upto 3 Axle
2140,306,5,325,488,4 to 6 Axle
2141,306,6,355,533,HCM/EME
2142,306,7,405,608,7 or more Axle
2143,307,1,56,84,Car/Jeep/Van
2144,307,2,101,152,LCV
2145,307,3,196,294,Bus/Truck
2146,307,4,311,467,Upto 3 Axle
2147,307,5,326,489,4 to 6 Axle
2148,307,6,356,534,HCM/EME
2149,307,7,406,609,7 or more Axle
2150,308,1,57,86,Car/Jeep/Van
2151,308,2,102,153,LCV
2152,308,3,197,296,Bus/Truck
2153,308,4,312,468,Upto 3 Axle
2154,308,5,327,491,4 to 6 Axle
2155,308,6,357,536,HCM/EME
2156,308,7,407,611,7 or more Axle
2157,309,1,58,87,Car/Jeep/Van
2158,309,2,103,155,LCV
2159,309,3,198,297,Bus/Truck
2160,309,4,313,470,Upto 3 Axle
2161,309,5,328,492,4 to 6 Axle
2162,309,6,358,537,HCM/EME
2163,309,7,408,612,7 or more Axle
2164,310,1,59,89,Car/Jeep/Van
2165,310,2,104,156,LCV
2166,310,3,199,299,Bus/Truck
2167,310,4,314,471,Upto 3 Axle
2168,310,5,329,494,4 to 6 Axle
2169,310,6,359,539,HCM/EME
2170,310,7,409,614,7 or more Axle
2171,311,1,60,90,Car/Jeep/Van
2172,311,2,105,158,LCV
2173,311,3,200,300,Bus/Truck
2174,311,4,315,473,Upto 3 Axle
2175,311,5,330,495,4 to 6 Axle
2176,311,6,360,540,HCM/EME
2177,311,7,410,615,7 or more Axle
2178,312,1,61,92,Car/Jeep/Van
2179,312,2,106,159,LCV
2180,312,3,201,302,Bus/Truck
2181,312,4,316,474,Upto 3 Axle
2182,312,5,331,497,4 to 6 Axle
2183,312,6,361,542,HCM/EME
2184,312,7,411,617,7 or more Axle
2185,313,1,62,93,Car/Jeep/Van
2186,313,2,107,161,LCV
2187,313,3,202,303,Bus/Truck
2188,313,4,317,476,Upto 3 Axle
2189,313,5,332,498,4 to 6 Axle
2190,313,6,362,543,HCM/EME
2191,313,7,412,618,7 or more Axle
2192,314,1,63,95,Car/Jeep/Van
2193,314,2,108,162,LCV
2194,314,3,203,305,Bus/Truck
2195,314,4,318,477,Upto 3 Axle
2196,314,5,333,500,4 to 6 Axle
2197,314,6,363,545,HCM/EME
2198,314,7,413,620,7 or more Axle
2199,315,1,64,96,Car/Jeep/Van
2200,315,2,109,164,LCV
2201,315,3,204,306,Bus/Truck
2202,315,4,319,479,Upto 3 Axle
2203,315,5,334,501,4 to 6 Axle
2204,315,6,364,546,HCM/EME
2205,315,7,414,621,7 or more Axle
2206,316,1,65,98,Car/Jeep/Van
2207,316,2,110,165,LCV
2208,316,3,205,308,Bus/Truck
2209,316,4,320,480,Upto 3 Axle
2210,316,5,335,503,4 to 6 Axle
2211,316,6,365,548,HCM/EME
2212,316,7,415,623,7 or more Axle
2213,317,1,66,99,Car/Jeep/Van
2214,317,2,111,167,LCV
2215,317,3,206,309,Bus/Truck
2216,317,4,321,482,Upto 3 Axle
2217,317,5,336,504,4 to 6 Axle
2218,317,6,366,549,HCM/EME
2219,317,7,416,624,7 or more Axle
2220,318,1,67,101,Car/Jeep/Van
2221,318,2,112,168,LCV
2222,318,3,207,311,Bus/Truck
2223,318,4,322,483,Upto 3 Axle
2224,318,5,337,506,4 to 6 Axle
2225,318,6,367,551,HCM/EME
2226,318,7,417,626,7 or more Axle
2227,319,1,68,102,Car/Jeep/Van
2228,319,2,113,170,LCV
2229,319,3,208,312,Bus/Truck
2230,319,4,323,485,Upto 3 Axle
2231,319,5,338,507,4 to 6 Axle
2232,319,6,368,552,HCM/EME
2233,319,7,418,627,7 or more Axle
2234,320,1,69,104,Car/Jeep/Van
2235,320,2,114,171,LCV
2236,320,3,209,314,Bus/Truck
2237,320,4,324,486,Upto 3 Axle
2238,320,5,339,509,4 to 6 Axle
2239,320,6,369,554,HCM/EME
2240,320,7,419,629,7 or more Axle
2241,321,1,70,105,Car/Jeep/Van
2242,321,2,115,173,LCV
2243,321,3,210,315,Bus/Truck
2244,321,4,325,488,Upto 3 Axle
2245,321,5,340,510,4 to 6 Axle
2246,321,6,370,555,HCM/EME
2247,321,7,420,630,7 or more Axle
2248,322,1,71,107,Car/Jeep/Van
2249,322,2,116,174,LCV
2250,322,3,211,317,Bus/Truck
2251,322,4,326,489,Upto 3 Axle
2252,322,5,341,512,4 to 6 Axle
2253,322,6,371,557,HCM/EME
2254,322,7,421,632,7 or more Axle
2255,323,1,72,108,Car/Jeep/Van
2256,323,2,117,176,LCV
2257,323,3,212,318,Bus/Truck
2258,323,4,327,491,Upto 3 Axle
2259,323,5,342,513,4 to 6 Axle
2260,323,6,372,558,HCM/EME
2261,323,7,422,633,7 or more Axle
2262,324,1,73,110,Car/Jeep/Van
2263,324,2,118,177,LCV
2264,324,3,213,320,Bus/Truck
2265,324,4,328,492,Upto 3 Axle
2266,324,5,343,515,4 to 6 Axle
2267,324,6,373,560,HCM/EME
2268,324,7,423,635,7 or more Axle
2269,325,1,74,111,Car/Jeep/Van
2270,325,2,119,179,LCV
2271,325,3,214,321,Bus/Truck
